_time,event,type,detail
1748217600,Alex Rivera completed HIIT Burn 45 — 94% effort,completion,HIIT Burn 45
1748217300,New member joined: Marcus T. in Chicago,join,Chicago
1748217000,Jordan Kim completed Endurance Builder — 89% effort,completion,Endurance Builder
1748216700,Milestone: Yoga Flow Pro reached 3000 members,milestone,Yoga Flow Pro
1748216400,Sam Okafor completed Strength Foundations — 91% effort,completion,Strength Foundations
1748216100,New member joined: Priya K. in Austin,join,Austin
1748215800,Morgan Chen completed Sprint Series — 87% effort,completion,Sprint Series
1748215500,Milestone: HIIT Burn 45 at 95% completion rate,milestone,HIIT Burn 45
1748215200,New member joined: Tyler R. in Portland,join,Portland
1748214900,Taylor Brooks completed Core Crusher — 85% effort,completion,Core Crusher
1748214600,Casey Nguyen completed Recovery Zone — 92% effort,completion,Recovery Zone
1748214300,New member joined: Lisa M. in New York,join,New York
1748214000,Milestone: Endurance Builder hit 4000 workouts,milestone,Endurance Builder
1748213700,Jamie Park completed Boxing Basics — 88% effort,completion,Boxing Basics
1748213400,New member joined: David S. in Seattle,join,Seattle
